,"Мощность активная потребленная, кВт",Год,Месяц,День,Час
0,4.46645438285217,22,1,1,1
1,4.76248682450633,22,1,1,2
2,5.19528279183697,22,1,1,3
3,6.01240157815721,22,1,1,4
4,9.504199442580791,22,1,1,5
5,9.601145739262861,22,1,1,6
6,9.627113497302691,22,1,1,7
7,8.671500001436641,22,1,1,8
8,0.533204631751345,22,1,1,9
9,8.37027400817452,22,1,1,10
10,8.799607607766522,22,1,1,11
11,8.264671792145851,22,1,1,12
12,8.02923078591799,22,1,1,13
13,6.386337293930881,22,1,1,14
14,5.99162737172534,22,1,1,15
15,5.22125054987681,22,1,1,16
16,4.17215312506734,22,1,1,17
17,3.91074436079964,22,1,1,18
18,4.2171639056697305,22,1,1,19
19,3.87958305115183,22,1,1,20
20,3.99037881878848,22,1,1,21
21,3.91766909627693,22,1,1,22
22,4.142722999288861,22,1,1,23
23,4.20504561858447,22,1,1,24
24,4.25524995079482,22,1,2,1
25,4.31411020235179,22,1,2,2
26,5.04813216294455,22,1,2,3
27,5.58133679469589,22,1,2,4
28,8.49665043063507,22,1,2,5
29,8.68015592078326,22,1,2,6
30,7.908047915065399,22,1,2,7
31,8.37373637591317,22,1,2,8
32,7.011294670756319,22,1,2,9
33,7.9461339601905,22,1,2,10
34,8.23697285023669,22,1,2,11
35,8.05692972782714,22,1,2,12
36,7.6899187475307595,22,1,2,13
37,1.320893292293105,22,1,2,14
38,6.49367069382888,22,1,2,15
39,6.25822968760102,22,1,2,16
40,4.63784158591511,22,1,2,17
41,4.48895977315337,22,1,2,18
42,4.3920134764713,22,1,2,19
43,4.53916410536372,22,1,2,20
44,4.310647834613141,22,1,2,21
45,4.47857266993743,22,1,2,22
46,4.19638969923786,22,1,2,23
47,4.454336095766919,22,1,2,24
48,4.6603469762162995,22,1,3,1
49,4.82480944380195,22,1,3,2
50,5.2247129176154505,22,1,3,3
51,6.67025144849978,22,1,3,4
52,9.13026372680713,22,1,3,5
53,9.890253445439729,22,1,3,6
54,10.06337183237197,22,1,3,7
55,9.93872659378076,22,1,3,8
56,8.924252846357739,22,1,3,9
57,9.31203803308599,22,1,3,10
58,9.1977798977107,22,1,3,11
59,8.721704333647,22,1,3,12
60,7.650101518536351,22,1,3,13
61,6.67890736784639,22,1,3,14
62,6.31016520368069,22,1,3,15
63,5.05332571455252,22,1,3,16
64,4.63437921817646,22,1,3,17
65,4.4595296473748895,22,1,3,18
66,4.40586294742588,22,1,3,19
67,4.52012108280118,22,1,3,20
68,4.44914254415895,22,1,3,21
69,4.37470163777808,22,1,3,22
70,4.4145188667725,22,1,3,23
71,4.637841585915099,22,1,3,24
72,4.69497065360275,22,1,4,1
73,4.86116430505771,22,1,4,2
74,5.38398183359312,22,1,4,3
75,5.70251966554848,22,1,4,4
76,7.54276811863834,22,1,4,5
77,7.63452086371244,22,1,4,6
78,6.95070323533004,22,1,4,7
79,7.373112099444739,22,1,4,8
80,6.45385346483446,22,1,4,9
81,6.6027352775962,22,1,4,10
82,6.966283890153941,22,1,4,11
83,7.118628070654321,22,1,4,12
84,7.068423738443959,22,1,4,13
85,6.29458454885678,22,1,4,14
86,5.957003694338891,22,1,4,15
87,5.55710022052539,22,1,4,16
88,4.5114651634545595,22,1,4,17
89,4.321034937829079,22,1,4,18
90,4.4006693958179195,22,1,4,19
91,4.39201347647131,22,1,4,20
92,4.35738979908486,22,1,4,21
93,4.31411020235179,22,1,4,22
94,4.409325315164541,22,1,4,23
95,4.29852954752789,22,1,4,24
96,4.53223936988644,22,1,5,1
97,4.63264803430714,22,1,5,2
98,4.9061750856601005,22,1,5,3
99,5.45149800449671,22,1,5,4
100,7.054574267489389,22,1,5,5
101,6.7256493323181,22,1,5,6
102,6.83471391608542,22,1,5,7
103,7.013025854625649,22,1,5,8
104,6.48501477448227,22,1,5,9
105,7.0251441417109,22,1,5,10
106,6.9247354772902,22,1,5,11
107,7.0164882223642895,22,1,5,12
108,6.7966278709603305,22,1,5,13
109,6.284197445640849,22,1,5,14
110,6.13185326514047,22,1,5,15
111,5.8427455589636,22,1,5,16
112,4.48549740541472,22,1,5,17
113,4.134067079942239,22,1,5,18
114,4.17734667667531,22,1,5,19
115,4.21370153793109,22,1,5,20
116,4.2154327218004095,22,1,5,21
117,4.22408864114702,22,1,5,22
118,4.25524995079482,22,1,5,23
119,4.16869075732869,22,1,6,0
120,4.48722858928405,22,1,6,1
121,4.66900289556292,22,1,6,2
122,4.80576642123939,22,1,6,3
123,5.6505841494688,22,1,6,4
124,7.30559592854115,22,1,6,5
125,6.99225164819378,22,1,6,6
126,7.009563486887,22,1,6,7
127,7.53757456703038,22,1,6,8
128,6.49020832609024,22,1,6,9
129,6.94724086759139,22,1,6,10
130,5.7423368945429,22,1,6,11
131,5.62634757529828,22,1,6,12
132,5.0740999209843896,22,1,6,13
133,4.9788848081716495,22,1,6,14
134,4.80576642123939,22,1,6,15
135,4.77633629546091,22,1,6,16
136,4.33142204104502,22,1,6,17
137,4.21889508953905,22,1,6,18
138,4.07001327677731,22,1,6,19
139,4.3435403281302705,22,1,6,20
140,4.18946496376057,22,1,6,21
141,4.22408864114702,22,1,6,22
142,4.19638969923786,22,1,6,23
143,4.33661559265299,22,1,7,0
144,4.52704581827846,22,1,7,1
145,4.78672339867685,22,1,7,2
146,5.1208418854561,22,1,7,3
147,6.583692255033659,22,1,7,4
148,9.80888780358156,22,1,7,5
149,10.41999570945242,22,1,7,6
150,10.449425835230901,22,1,7,7
151,10.35594190628748,22,1,7,8
152,9.31723158469396,22,1,7,9
