,"Мощность активная потребленная, кВт",Год,Месяц,День,Час,День недели,Праздник ли это
119,4.16869075732869,2022,1,6,0,3,1
120,4.48722858928405,2022,1,6,1,4,1
121,4.66900289556292,2022,1,6,2,4,1
122,4.80576642123939,2022,1,6,3,4,1
123,5.6505841494688,2022,1,6,4,4,1
124,7.30559592854115,2022,1,6,5,4,1
125,6.99225164819378,2022,1,6,6,4,1
126,7.009563486887,2022,1,6,7,4,1
127,7.53757456703038,2022,1,6,8,4,1
128,6.49020832609024,2022,1,6,9,4,1
129,6.94724086759139,2022,1,6,10,4,1
130,5.7423368945429,2022,1,6,11,4,1
131,5.62634757529828,2022,1,6,12,4,1
132,5.0740999209843896,2022,1,6,13,4,1
133,4.9788848081716495,2022,1,6,14,4,1
134,4.80576642123939,2022,1,6,15,4,1
135,4.77633629546091,2022,1,6,16,4,1
136,4.33142204104502,2022,1,6,17,4,1
137,4.21889508953905,2022,1,6,18,4,1
138,4.07001327677731,2022,1,6,19,4,1
139,4.3435403281302705,2022,1,6,20,4,1
140,4.18946496376057,2022,1,6,21,4,1
141,4.22408864114702,2022,1,6,22,4,1
142,4.19638969923786,2022,1,6,23,4,1
143,4.33661559265299,2022,1,7,0,4,1
144,4.52704581827846,2022,1,7,1,5,1
145,4.78672339867685,2022,1,7,2,5,1
146,5.1208418854561,2022,1,7,3,5,1
147,6.583692255033659,2022,1,7,4,5,1
148,9.80888780358156,2022,1,7,5,5,1
149,10.41999570945242,2022,1,7,6,5,1
150,10.449425835230901,2022,1,7,7,5,1
151,10.35594190628748,2022,1,7,8,5,1
152,9.31723158469396,2022,1,7,9,5,1
153,9.772532942325789,2022,1,7,10,5,1
154,9.51285536192741,2022,1,7,11,5,1
155,9.70674795529153,2022,1,7,12,5,1
156,8.4222095242542,2022,1,7,13,5,1
157,7.03380006105751,2022,1,7,14,5,1
158,6.550799761516529,2022,1,7,15,5,1
159,6.20283180378269,2022,1,7,16,5,1
160,4.6066802762673,2022,1,7,17,5,1
161,4.59283080531272,2022,1,7,18,5,1
162,4.29333599591992,2022,1,7,19,5,1
163,4.49069095702269,2022,1,7,20,5,1
164,4.32276612169841,2022,1,7,21,5,1
165,4.40413176355656,2022,1,7,22,5,1
166,4.40932531516453,2022,1,7,23,5,1
167,4.506271611846589,2022,1,7,24,5,1
168,4.43529307320438,2022,1,8,1,6,1
169,4.73825025033581,2022,1,8,2,6,1
170,5.37705709811584,2022,1,8,3,6,1
171,6.54387502603924,2022,1,8,4,6,1
172,9.78984478101902,2022,1,8,5,6,1
173,10.3109311256851,2022,1,8,6,6,1
174,8.90520982379519,2022,1,8,7,6,1
175,9.08525294620474,2022,1,8,8,6,1
176,7.889004892502859,2022,1,8,9,6,1
177,7.980757637576961,2022,1,8,10,6,1
178,7.65702625401363,2022,1,8,11,6,1
179,7.180950689949929,2022,1,8,12,6,1
180,7.74012307974111,2022,1,8,13,6,1
181,6.43654162614123,2022,1,8,14,6,1
182,6.3794125584535895,2022,1,8,15,6,1
183,5.67482072363931,2022,1,8,16,6,1
184,4.38162637325538,2022,1,8,17,6,1
185,4.29506717978925,2022,1,8,18,6,1
186,4.20158325084583,2022,1,8,19,6,1
187,4.2916048120506005,2022,1,8,20,6,1
188,4.281217708834671,2022,1,8,21,6,1
189,4.21370153793109,2022,1,8,22,6,1
190,4.40932531516453,2022,1,8,23,6,1
191,4.31584138622112,2022,1,8,24,6,1
192,4.59802435692069,2022,1,9,1,7,1
193,4.72959433098921,2022,1,9,2,7,1
194,5.14507845962662,2022,1,9,3,7,1
195,5.7960035944919,2022,1,9,4,7,1
196,8.86885496253942,2022,1,9,5,7,1
197,8.68361828852191,2022,1,9,6,7,1
198,8.27332771149246,2022,1,9,7,7,1
199,8.41701597264623,2022,1,9,8,7,1
200,7.45274655743357,2022,1,9,9,7,1
201,8.55724186606136,2022,1,9,10,7,1
202,7.88554252476421,2022,1,9,11,7,1
203,7.632789679843119,2022,1,9,12,7,1
204,7.33329487045032,2022,1,9,13,7,1
205,6.48328359061295,2022,1,9,14,7,1
206,6.684100919454361,2022,1,9,15,7,1
207,6.083380116799431,2022,1,9,16,7,1
208,4.38855110873266,2022,1,9,17,7,1
209,4.33488440878366,2022,1,9,18,7,1
